document_id,overall_before,overall_after,delta,nid_before,nid_after,teds_before,teds_after,mhs_before,mhs_after
01030000000081,0.962342,0.962342,0.000000,0.924683,0.924683,1.000000,1.000000,,
01030000000082,0.947632,0.947632,0.000000,0.896011,0.896011,0.999254,0.999254,,
01030000000083,0.945687,0.945687,0.000000,0.891373,0.891373,1.000000,1.000000,,
01030000000084,0.953308,0.953308,0.000000,0.906617,0.906617,1.000000,1.000000,,
01030000000085,0.800802,0.800802,0.000000,0.886364,0.886364,,,0.715241,0.715241
01030000000086,0.788008,0.788008,0.000000,0.982677,0.982677,,,0.593338,0.593338
01030000000087,0.984722,0.984722,0.000000,0.984722,0.984722,,,,
01030000000088,0.920331,0.920331,0.000000,0.840835,0.840835,0.999827,0.999827,,
01030000000089,0.923916,0.923916,0.000000,0.847831,0.847831,1.000000,1.000000,,
01030000000090,0.924106,0.924106,0.000000,0.848441,0.848441,0.999771,0.999771,,
01030000000091,0.992585,0.992585,0.000000,0.992047,0.992047,,,0.993122,0.993122
01030000000092,0.995280,0.995280,0.000000,0.997811,0.997811,,,0.992749,0.992749
01030000000093,0.997680,0.997680,0.000000,0.997680,0.997680,,,,
01030000000094,0.911956,0.911956,0.000000,0.911956,0.911956,,,,
01030000000095,0.926330,0.926330,0.000000,0.926330,0.926330,,,,
01030000000096,0.952844,0.952844,0.000000,0.952844,0.952844,,,,
01030000000097,0.951631,0.951631,0.000000,0.946801,0.946801,,,0.956462,0.956462
01030000000098,0.836246,0.836246,0.000000,0.836246,0.836246,,,,
01030000000099,0.905757,0.905757,0.000000,0.885877,0.885877,,,0.925638,0.925638
01030000000100,0.814064,0.814064,0.000000,0.814064,0.814064,,,,
01030000000101,0.995918,0.995918,0.000000,0.994749,0.994749,,,0.997086,0.997086
01030000000102,0.934015,0.934015,0.000000,0.934015,0.934015,,,,
01030000000103,0.833323,0.833323,0.000000,0.936378,0.936378,,,0.730268,0.730268
01030000000104,0.926382,0.926382,0.000000,0.957975,0.957975,,,0.894790,0.894790
01030000000105,0.921880,0.921880,0.000000,0.904508,0.904508,,,0.939252,0.939252
01030000000106,0.822441,0.822441,0.000000,0.822441,0.822441,,,,
01030000000107,0.614911,0.614911,0.000000,0.464802,0.464802,,,0.765020,0.765020
01030000000108,0.994211,0.994211,0.000000,0.992727,0.992727,,,0.995695,0.995695
01030000000109,0.915989,0.915989,0.000000,0.909985,0.909985,,,0.921993,0.921993
01030000000110,0.259450,0.259450,0.000000,0.518900,0.518900,0.000000,0.000000,,
01030000000111,0.892582,0.892582,0.000000,0.892708,0.892708,,,0.892456,0.892456
01030000000112,0.981326,0.981326,0.000000,0.981326,0.981326,,,,
01030000000113,0.979194,0.979194,0.000000,0.970241,0.970241,,,0.988147,0.988147
01030000000114,0.997728,0.997728,0.000000,0.997728,0.997728,,,,
01030000000115,0.990400,0.990400,0.000000,0.988482,0.988482,,,0.992318,0.992318
01030000000116,0.613944,0.935246,0.321302,0.839858,0.914894,0.388031,0.955598,,
01030000000117,0.851824,0.851824,0.000000,0.880199,0.880199,0.823129,0.823129,0.852144,0.852144
01030000000118,0.622127,0.622127,0.000000,0.835580,0.835580,,,0.408675,0.408675
01030000000119,0.880644,0.880644,0.000000,0.950681,0.950681,0.810606,0.810606,,
01030000000120,0.950284,0.950284,0.000000,0.900568,0.900568,1.000000,1.000000,,
01030000000121,0.966777,0.966777,0.000000,0.956392,0.956392,0.993789,0.993789,0.950149,0.950149
01030000000122,0.557590,0.557590,0.000000,0.805654,0.805654,0.000000,0.000000,0.867116,0.867116
01030000000123,0.902670,0.902670,0.000000,0.878698,0.878698,,,0.926642,0.926642
01030000000124,0.895761,0.895761,0.000000,0.923215,0.923215,,,0.868307,0.868307
01030000000125,0.999326,0.999326,0.000000,0.999326,0.999326,,,,
01030000000126,0.862754,0.862754,0.000000,0.897309,0.897309,,,0.828199,0.828199
01030000000127,0.751536,0.955635,0.204098,0.872322,0.937927,0.630750,0.973343,,
01030000000128,0.933776,0.933776,0.000000,0.867553,0.867553,1.000000,1.000000,,
01030000000129,0.921128,0.921128,0.000000,0.921128,0.921128,,,,
01030000000130,0.668968,0.942483,0.273515,0.802264,0.886321,0.535672,0.998644,,
01030000000131,0.840371,0.840371,0.000000,0.840371,0.840371,,,,
01030000000132,0.882810,0.883098,0.000288,0.898953,0.899530,0.866667,0.866667,,
01030000000133,0.956622,0.956622,0.000000,0.953601,0.953601,,,0.959644,0.959644
01030000000134,0.801408,0.801408,0.000000,0.801408,0.801408,,,,
01030000000135,0.995774,0.995774,0.000000,0.995774,0.995774,,,,
01030000000136,0.831388,0.831388,0.000000,0.831388,0.831388,,,,
01030000000137,0.969722,0.969722,0.000000,0.969722,0.969722,,,,
01030000000138,0.994833,0.994833,0.000000,0.994833,0.994833,,,,
01030000000139,0.952069,0.952069,0.000000,0.952069,0.952069,,,,
01030000000140,0.857143,0.857143,0.000000,0.857143,0.857143,,,,
01030000000141,0.010118,0.010118,0.000000,0.020236,0.020236,,,0.000000,0.000000
01030000000142,0.976613,0.976613,0.000000,0.974080,0.974080,,,0.979147,0.979147
01030000000143,0.958449,0.958449,0.000000,0.973351,0.973351,,,0.943546,0.943546
01030000000144,0.887379,0.887379,0.000000,0.892205,0.892205,,,0.882552,0.882552
01030000000145,0.928222,0.928222,0.000000,0.905942,0.905942,,,0.950501,0.950501
01030000000146,0.733941,0.733941,0.000000,0.933382,0.933382,0.397826,0.397826,0.870613,0.870613
01030000000147,0.770062,0.770062,0.000000,0.755837,0.755837,0.900143,0.900143,0.654207,0.654207
01030000000148,0.411296,0.411296,0.000000,0.822592,0.822592,,,0.000000,0.000000
01030000000149,0.965782,0.965782,0.000000,0.931565,0.931565,1.000000,1.000000,,
01030000000150,0.741041,0.741041,0.000000,0.864241,0.864241,0.662492,0.662492,0.696391,0.696391
01030000000151,0.989489,0.989489,0.000000,0.986667,0.986667,,,0.992311,0.992311
01030000000152,0.897621,0.897621,0.000000,0.897621,0.897621,,,,
01030000000153,0.948172,0.948172,0.000000,0.921011,0.921011,,,0.975333,0.975333
01030000000154,0.895124,0.895124,0.000000,0.926183,0.926183,,,0.864065,0.864065
01030000000155,1.000000,1.000000,0.000000,1.000000,1.000000,,,1.000000,1.000000
01030000000156,0.741002,0.741002,0.000000,0.922700,0.922700,,,0.559303,0.559303
01030000000157,0.942277,0.942277,0.000000,0.928373,0.928373,,,0.956181,0.956181
01030000000158,0.956891,0.956891,0.000000,0.953889,0.953889,,,0.959892,0.959892
01030000000159,0.994619,0.994619,0.000000,0.992908,0.992908,,,0.996331,0.996331
01030000000160,0.991576,0.991576,0.000000,0.991576,0.991576,,,,
01030000000161,0.995172,0.995172,0.000000,0.995172,0.995172,,,,
01030000000162,0.980986,0.980986,0.000000,0.980986,0.980986,,,,
01030000000163,0.788784,0.788784,0.000000,0.893985,0.893985,,,0.683582,0.683582
01030000000164,0.998348,0.998348,0.000000,0.998348,0.998348,,,,
01030000000165,0.927968,0.927968,0.000000,0.875323,0.875323,1.000000,1.000000,0.908582,0.908582
01030000000166,0.836829,0.836829,0.000000,0.898163,0.898163,0.657030,0.657030,0.955294,0.955294
01030000000167,0.986754,0.986754,0.000000,0.982888,0.982888,,,0.990619,0.990619
01030000000168,0.933001,0.933001,0.000000,0.926881,0.926881,,,0.939121,0.939121
01030000000169,0.950091,0.950091,0.000000,0.951214,0.951214,,,0.948968,0.948968
01030000000170,0.727760,0.814502,0.086742,0.830117,0.871803,0.625404,0.757201,,
01030000000171,0.990735,0.990735,0.000000,0.988871,0.988871,,,0.992598,0.992598
01030000000172,0.992219,0.992219,0.000000,0.992219,0.992219,,,,
01030000000173,0.929313,0.929313,0.000000,0.968345,0.968345,,,0.890281,0.890281
01030000000174,0.960977,0.960977,0.000000,0.971541,0.971541,,,0.950414,0.950414
01030000000175,0.984990,0.984990,0.000000,0.985035,0.985035,,,0.984946,0.984946
01030000000176,0.952448,0.952448,0.000000,0.975907,0.975907,,,0.928989,0.928989
01030000000177,0.784467,0.784467,0.000000,0.769199,0.769199,,,0.799735,0.799735
01030000000178,0.973525,0.973525,0.000000,0.953899,0.953899,0.998433,0.998433,0.968243,0.968243
01030000000179,0.987897,0.987897,0.000000,0.983683,0.983683,,,0.992111,0.992111
01030000000180,0.846388,0.846388,0.000000,0.908453,0.908453,0.711905,0.711905,0.918805,0.918805
01030000000181,0.988405,0.988405,0.000000,0.980392,0.980392,,,0.996417,0.996417
01030000000182,0.710001,0.710001,0.000000,0.901891,0.901891,0.523810,0.523810,0.704301,0.704301
01030000000183,0.633894,0.633894,0.000000,0.626020,0.626020,,,0.641769,0.641769
01030000000184,0.781914,0.781914,0.000000,0.845941,0.845941,,,0.717888,0.717888
01030000000185,0.826013,0.826013,0.000000,0.840516,0.840516,,,0.811509,0.811509
01030000000186,0.904458,0.904458,0.000000,0.943751,0.943751,,,0.865166,0.865166
01030000000187,0.975146,0.975146,0.000000,0.985331,0.985331,0.947368,0.947368,0.992739,0.992739
01030000000188,0.933457,0.964835,0.031377,0.936290,0.946285,0.899103,0.980215,0.964980,0.968004
01030000000189,0.881567,0.937343,0.055775,0.916789,0.938663,0.772223,0.906040,0.955690,0.967324
01030000000190,0.751401,0.980318,0.228917,0.895852,0.958734,0.399965,0.999297,0.958386,0.982923
01030000000191,0.998806,0.998806,0.000000,0.998251,0.998251,,,0.999361,0.999361
01030000000192,0.939287,0.939287,0.000000,0.939287,0.939287,,,,
01030000000193,0.994120,0.994120,0.000000,0.994120,0.994120,,,,
01030000000194,0.998593,0.998593,0.000000,0.998593,0.998593,,,,
01030000000195,0.998191,0.998191,0.000000,0.997515,0.997515,,,0.998868,0.998868
01030000000196,0.999383,0.999383,0.000000,0.999023,0.999023,,,0.999744,0.999744
01030000000197,0.907748,0.907748,0.000000,0.958034,0.958034,0.789474,0.789474,0.975736,0.975736
01030000000198,0.894636,0.894636,0.000000,0.865922,0.865922,,,0.923351,0.923351
01030000000199,0.536181,0.536181,0.000000,0.717325,0.717325,,,0.355036,0.355036
01030000000200,0.623792,0.623792,0.000000,0.750870,0.750870,0.473382,0.473382,0.647125,0.647125
