document_id,overall_baseline,overall_candidate,overall_delta,nid_baseline,nid_candidate,nid_delta,teds_baseline,teds_candidate,teds_delta,mhs_baseline,mhs_candidate,mhs_delta
01030000000014,0.949579831932773,0.949579831932773,0.0,0.949579831932773,0.949579831932773,0.0,,,,,,
01030000000015,0.7397482744620382,0.9305724725943972,0.19082419813235907,0.7397482744620382,0.9305724725943972,0.19082419813235907,,,,,,
01030000000016,0.7689080105403782,0.7689080105403782,0.0,0.6932100959829364,0.6932100959829364,0.0,,,,0.84460592509782,0.84460592509782,0.0
01030000000017,0.9730205278592375,0.9730205278592375,0.0,0.9730205278592375,0.9730205278592375,0.0,,,,,,
01030000000018,0.8321005675220385,0.8321005675220385,0.0,0.7831149927219796,0.7831149927219796,0.0,,,,0.8810861423220974,0.8810861423220974,0.0
01030000000019,0.9939560061466608,0.9939560061466608,0.0,0.9983801295896328,0.9983801295896328,0.0,,,,0.9895318827036889,0.9895318827036889,0.0
01030000000020,0.9962714392244594,0.9962714392244594,0.0,0.9962714392244594,0.9962714392244594,0.0,,,,,,
01030000000021,0.8725106256419478,0.8725106256419478,0.0,0.9959088252483927,0.9959088252483927,0.0,,,,0.7491124260355029,0.7491124260355029,0.0
01030000000022,0.9958965941731637,0.9958965941731637,0.0,0.9958965941731637,0.9958965941731637,0.0,,,,,,
01030000000023,0.9984282907662082,0.9984282907662082,0.0,0.9984282907662082,0.9984282907662082,0.0,,,,,,
01030000000024,0.9989768774299163,0.9989768774299163,0.0,0.9989768774299163,0.9989768774299163,0.0,,,,,,
01030000000025,0.9983874683252707,0.9983874683252707,0.0,0.9983874683252707,0.9983874683252707,0.0,,,,,,
01030000000026,0.9974424552429667,0.9974424552429667,0.0,0.9974424552429667,0.9974424552429667,0.0,,,,,,
01030000000027,0.5791173304628633,0.5791173304628633,0.0,0.5791173304628633,0.5791173304628633,0.0,,,,,,
01030000000028,0.6269488763974633,0.6269488763974633,0.0,0.9890981169474727,0.9890981169474727,0.0,,,,0.2647996358474539,0.2647996358474539,0.0
01030000000029,0.7094473361910594,0.7094473361910594,0.0,0.9721212121212122,0.9721212121212122,0.0,,,,0.4467734602609067,0.4467734602609067,0.0
01030000000030,0.9515581610614008,0.9515581610614008,0.0,0.9515581610614008,0.9515581610614008,0.0,,,,,,
01030000000031,0.585802311778767,0.585802311778767,0.0,0.8881251074067709,0.8881251074067709,0.0,,,,0.28347951615076317,0.28347951615076317,0.0
01030000000032,0.9826730875064327,0.9826730875064327,0.0,0.9751424132573796,0.9751424132573796,0.0,,,,0.9902037617554859,0.9902037617554859,0.0
01030000000033,0.7541457286001231,0.7541457286001231,0.0,0.9315652379824769,0.9315652379824769,0.0,,,,0.5767262192177692,0.5767262192177692,0.0
01030000000034,0.8801198801198801,0.8801198801198801,0.0,0.8801198801198801,0.8801198801198801,0.0,,,,,,
01030000000035,0.9291008925936104,0.9291008925936104,0.0,0.9409178345699368,0.9409178345699368,0.0,,,,0.917283950617284,0.917283950617284,0.0
01030000000036,0.6496785734080659,0.6496785734080659,0.0,0.5230017251293847,0.5230017251293847,0.0,,,,0.776355421686747,0.776355421686747,0.0
01030000000037,0.5420573476876437,0.5420573476876437,0.0,0.6500233317778814,0.6500233317778814,0.0,,,,0.43409136359740597,0.43409136359740597,0.0
01030000000038,0.5822686021285737,0.5822686021285737,0.0,0.743452699091395,0.743452699091395,0.0,,,,0.42108450516575224,0.42108450516575224,0.0
