document_id,base_overall,new_overall,delta,base_nid,new_nid,base_teds,new_teds,base_mhs,new_mhs
01030000000054,0.8969712321,0.9982922815,0.1013210493,0.9974196575,0.9981220657,,,0.7965228068,0.9984624972
01030000000055,0.9501862197,0.9501862197,0.0000000000,0.9501862197,0.9501862197,,,,
01030000000056,0.8937351308,0.8950715421,0.0013364113,0.8937351308,0.8950715421,,,,
01030000000057,0.9223826715,0.9242835596,0.0019008881,0.9223826715,0.9242835596,,,,
01030000000058,0.9311260444,0.9311260444,0.0000000000,0.9151256520,0.9151256520,,,0.9471264368,0.9471264368
01030000000059,0.7373447947,0.7373447947,0.0000000000,0.7373447947,0.7373447947,,,,
01030000000060,0.8576131687,0.8589108911,0.0012977224,0.8576131687,0.8589108911,,,,
01030000000061,0.9298515105,0.9658584859,0.0360069754,0.9298515105,0.9658584859,,,,
01030000000062,0.9935654457,0.9935654457,0.0000000000,0.9921686747,0.9921686747,,,0.9949622166,0.9949622166
01030000000063,0.9689119171,0.9689119171,0.0000000000,0.9689119171,0.9689119171,,,,
01030000000064,0.9313156743,0.9313156743,0.0000000000,0.9251313485,0.9251313485,0.9375000000,0.9375000000,,
01030000000065,0.9931522715,0.9931522715,0.0000000000,0.9910913140,0.9910913140,,,0.9952132289,0.9952132289
01030000000066,0.9618247299,0.9627314258,0.0009066959,0.9618247299,0.9627314258,,,,
01030000000067,0.9771805665,0.9610428806,-0.0161376859,0.9745186863,0.9563767713,,,0.9798424467,0.9657089898
01030000000068,0.9847715736,0.9849510910,0.0001795174,0.9847715736,0.9849510910,,,,
01030000000069,0.6084442288,0.8135314824,0.2050872536,0.9872734285,0.9886034383,,,0.2296150292,0.6384595265
01030000000070,0.8066852368,0.8084868788,0.0018016421,0.8066852368,0.8084868788,,,,
01030000000071,0.8612999171,0.9880109061,0.1267109890,0.8132183908,0.9845094664,,,0.9093814433,0.9915123457
01030000000072,0.5581929556,0.6951219512,0.1369289956,0.5581929556,0.6951219512,,,,
01030000000073,0.8136324418,0.8136324418,0.0000000000,0.8136324418,0.8136324418,,,,
01030000000074,0.8828671329,0.9597122302,0.0768450973,0.8828671329,0.9597122302,,,,
01030000000075,0.9929478138,0.9947517158,0.0018039020,0.9929478138,0.9947517158,,,,
01030000000076,0.4881602914,0.9043869516,0.4162266602,0.4881602914,0.9043869516,,,,
01030000000077,0.6734741716,0.9476951678,0.2742209962,0.8255197717,0.9726224784,,,0.5214285714,0.9227678571
01030000000078,0.4744231143,0.7836314717,0.3092083574,0.7002288330,0.8501387604,0.2486173957,0.7171241830,,
01030000000079,0.8691015701,0.8691015701,0.0000000000,0.9885931559,0.9885931559,,,0.7496099844,0.7496099844
01030000000080,0.8663262511,0.8663262511,0.0000000000,0.9843081312,0.9843081312,,,0.7483443709,0.7483443709
01030000000081,0.9623415362,0.9623415362,0.0000000000,0.9246830723,0.9246830723,1.0000000000,1.0000000000,,
01030000000082,0.9476323208,0.9476323208,0.0000000000,0.8960109103,0.8960109103,0.9992537313,0.9992537313,,
01030000000083,0.9452537024,0.9456865128,0.0004328104,0.8905074047,0.8913730255,1.0000000000,1.0000000000,,
01030000000084,0.9533083060,0.9533083060,0.0000000000,0.9066166119,0.9066166119,1.0000000000,1.0000000000,,
01030000000085,0.8008021390,0.8008021390,0.0000000000,0.8863636364,0.8863636364,,,0.7152406417,0.7152406417
01030000000086,0.6239320704,0.7880076631,0.1640755926,0.9813035121,0.9826771654,,,0.2665606287,0.5933381608
01030000000087,0.9847222222,0.9847222222,0.0000000000,0.9847222222,0.9847222222,,,,
01030000000088,0.9203312851,0.9203312851,0.0000000000,0.8408352668,0.8408352668,0.9998273033,0.9998273033,,
01030000000089,0.9239157069,0.9239157069,0.0000000000,0.8478314139,0.8478314139,1.0000000000,1.0000000000,,
01030000000090,0.9241058744,0.9241058744,0.0000000000,0.8484412470,0.8484412470,0.9997705018,0.9997705018,,
01030000000091,0.9290209019,0.9925845957,0.0635636938,0.9916317992,0.9920468815,,,0.8664100047,0.9931223099
01030000000092,0.8937527959,0.9952802530,0.1015274571,0.9974474292,0.9978112840,,,0.7900581626,0.9927492220
01030000000093,0.9972459777,0.9976798144,0.0004338367,0.9972459777,0.9976798144,,,,
01030000000094,0.9111111111,0.9119555144,0.0008444033,0.9111111111,0.9119555144,,,,
01030000000095,0.9256850906,0.9263304671,0.0006453765,0.9256850906,0.9263304671,,,,
01030000000096,0.9517757009,0.9528443114,0.0010686104,0.9517757009,0.9528443114,,,,
01030000000097,0.7921061931,0.9516311535,0.1595249604,0.9461048506,0.9468006864,,,0.6381075356,0.9564616206
01030000000098,0.8355722730,0.8362463028,0.0006740298,0.8355722730,0.8362463028,,,,
01030000000099,0.7488471992,0.9057571723,0.1569099731,0.8847161572,0.8858766944,,,0.6129782411,0.9256376502
01030000000100,0.8126115407,0.8140643623,0.0014528216,0.8126115407,0.8140643623,,,,
01030000000101,0.8946880092,0.9959177089,0.1012296997,0.9943847656,0.9947490536,,,0.7949912528,0.9970863641
01030000000102,0.9335378323,0.9340153453,0.0004775130,0.9335378323,0.9340153453,,,,
01030000000103,0.8333234629,0.8333234629,0.0000000000,0.9363784666,0.9363784666,,,0.7302684592,0.7302684592
01030000000104,0.9263821764,0.9263821764,0.0000000000,0.9579746835,0.9579746835,,,0.8947896692,0.8947896692
01030000000105,0.9218801673,0.9218801673,0.0000000000,0.9045079981,0.9045079981,,,0.9392523364,0.9392523364
01030000000106,0.8221957041,0.8224410624,0.0002453583,0.8221957041,0.8224410624,,,,
01030000000107,0.6149111705,0.6149111705,0.0000000000,0.4648023144,0.4648023144,,,0.7650200267,0.7650200267
01030000000108,0.7587115638,0.9942111148,0.2354995510,0.6786171575,0.9927272727,,,0.8388059701,0.9956949569
01030000000109,0.8018285193,0.9159892943,0.1141607749,0.9096267191,0.9099852435,,,0.6940303196,0.9219933450
01030000000110,0.2592831080,0.2594501718,0.0001670639,0.5185662159,0.5189003436,0.0000000000,0.0000000000,,
01030000000111,0.7787893116,0.8925817437,0.1137924320,0.8914656772,0.8927078495,,,0.6661129461,0.8924556378
01030000000112,0.9803795433,0.9813264649,0.0009469216,0.9803795433,0.9813264649,,,,
01030000000113,0.8538715950,0.9791939878,0.1253223928,0.9695962785,0.9702410640,,,0.7381469115,0.9881469115
01030000000114,0.9959183673,0.9977283053,0.0018099380,0.9959183673,0.9977283053,,,,
01030000000115,0.9040090973,0.9904000289,0.0863909316,0.9871447903,0.9884823848,,,0.8208734043,0.9923176730
01030000000116,0.6872791009,0.6139442696,-0.0733348312,0.8093255620,0.8398576512,0.5652326397,0.3880308880,,
01030000000117,0.6959362212,0.8518239411,0.1558877199,0.8887365776,0.8801989150,0.6428571429,0.8231292517,0.5562149432,0.8521436566
