document_id,overall_markitdown_0_1_8,overall_kordoc_candidate5,overall_kordoc_candidate7,overall_markitdown_minus_candidate7,nid_markitdown_0_1_8,nid_kordoc_candidate5,nid_kordoc_candidate7,nid_markitdown_minus_candidate7,nid_s_markitdown_0_1_8,nid_s_kordoc_candidate5,nid_s_kordoc_candidate7,nid_s_markitdown_minus_candidate7,teds_markitdown_0_1_8,teds_kordoc_candidate5,teds_kordoc_candidate7,teds_markitdown_minus_candidate7,teds_s_markitdown_0_1_8,teds_s_kordoc_candidate5,teds_s_kordoc_candidate7,teds_s_markitdown_minus_candidate7,mhs_markitdown_0_1_8,mhs_kordoc_candidate5,mhs_kordoc_candidate7,mhs_markitdown_minus_candidate7,mhs_s_markitdown_0_1_8,mhs_s_kordoc_candidate5,mhs_s_kordoc_candidate7,mhs_s_markitdown_minus_candidate7
01030000000001,0.4957450660872714,0.9849431320794326,0.9861242223609357,-0.49037915627366424,0.9914901321745428,0.9918463489762638,0.9923940601231438,-0.0009039279486009466,0.9914901321745428,0.9918463489762638,0.9923940601231438,-0.0009039279486009466,,,,,,,,,0.0,0.9780399151826014,0.9798543845987274,-0.9798543845987274,0.0,1.0,1.0,-1.0
01030000000002,0.49347546406910486,0.9865582783525273,0.9871358316158052,-0.49366036754670034,0.9869509281382097,0.9873045078196873,0.9880492737635594,-0.001098345625349717,0.9869509281382097,0.9873045078196873,0.9880492737635594,-0.001098345625349717,,,,,,,,,0.0,0.9858120488853674,0.9862223894680511,-0.9862223894680511,0.0,1.0,1.0,-1.0
01030000000003,0.48744098205854575,0.9593041866073817,0.9593041866073817,-0.47186320454883596,0.9748819641170915,0.9637325273894976,0.9637325273894976,0.011149436727593942,0.9748819641170915,0.9637325273894976,0.9637325273894976,0.011149436727593942,,,,,,,,,0.0,0.954875845825266,0.954875845825266,-0.954875845825266,0.0,1.0,1.0,-1.0
01030000000004,0.49403437815975726,0.9900425212310457,0.9912717810988587,-0.49723740293910146,0.9880687563195145,0.9872495446265936,0.9884778653729533,-0.00040910905343882753,0.9880687563195145,0.9872495446265936,0.9884778653729533,-0.00040910905343882753,,,,,,,,,0.0,0.9928354978354978,0.9940656968247642,-0.9940656968247642,0.0,1.0,1.0,-1.0
01030000000005,0.9047619047619048,0.7972350230414746,0.7972350230414746,0.10752688172043012,0.9047619047619048,0.7972350230414746,0.7972350230414746,0.10752688172043012,0.9047619047619048,0.7972350230414746,0.7972350230414746,0.10752688172043012,,,,,,,,,,,,,,,,
01030000000006,0.9523809523809522,0.8727272727272728,0.8727272727272728,0.07965367965367942,0.9523809523809522,0.8727272727272728,0.8727272727272728,0.07965367965367942,0.9523809523809522,0.8727272727272728,0.8727272727272728,0.07965367965367942,,,,,,,,,,,,,,,,
01030000000007,0.49306062819576335,0.7612603045294972,0.7615101485627669,-0.26844952036700354,0.9861212563915267,0.9794909809735607,0.9797430830039525,0.006378173387574182,0.9861212563915267,0.9794909809735607,0.9797430830039525,0.006378173387574182,,,,,,,,,0.0,0.5430296280854336,0.5432772141215811,-0.5432772141215811,0.0,0.8571428571428572,0.8571428571428572,-0.8571428571428572
01030000000008,0.9552006232956759,0.7998442367601245,0.8014505893019038,0.15375003399377207,0.9552006232956759,0.7998442367601245,0.8014505893019038,0.15375003399377207,0.9552006232956759,0.7998442367601245,0.8014505893019038,0.15375003399377207,,,,,,,,,,,,,,,,
01030000000009,0.7714766984839979,0.7261039686975964,0.7267652804912085,0.04471141799278944,0.7714766984839979,0.7261039686975964,0.7267652804912085,0.04471141799278944,0.7714766984839979,0.7261039686975964,0.7267652804912085,0.04471141799278944,,,,,,,,,,,,,,,,
01030000000010,0.9410828025477707,0.9329090426942456,0.9362939466032248,0.004788855944545811,0.9410828025477707,0.9329090426942456,0.9362939466032248,0.004788855944545811,0.9410828025477707,0.9329090426942456,0.9362939466032248,0.004788855944545811,,,,,,,,,,,,,,,,
01030000000011,0.6814884894355093,0.9243353783231085,0.9246736908318919,-0.24318520139638256,0.6814884894355093,0.9243353783231085,0.9246736908318919,-0.24318520139638256,0.6814884894355093,0.9243353783231085,0.9246736908318919,-0.24318520139638256,,,,,,,,,,,,,,,,
